2026-09-10 12:45:17 [main] INFO  com.framework.config.ConfigManager - Loading config: src/main/resources/config/config-qa.properties
2026-09-10 12:45:19 [main] INFO  com.framework.listeners.TestListener - ===== Suite started: Regression Suite =====
2026-09-10 12:45:19 [main] INFO  com.framework.listeners.ExtentReportManager - Extent report initialised at: reports/ExtentReport.html
2026-09-10 12:45:20 [main] INFO  com.framework.tests.api.BaseAPITest - API Base URI: https://reqres.in/api
2026-09-10 12:45:20 [main] INFO  com.framework.listeners.TestListener - TEST STARTED: testCreateUser
2026-09-10 12:45:20 [main] INFO  com.framework.api.client.RestClient - POST https://reqres.in/api/users
2026-09-10 12:45:37 [main] INFO  com.framework.api.validators.ResponseValidator - Validating status code: expected=201, actual=201
2026-09-10 12:45:38 [main] INFO  com.framework.api.validators.ResponseValidator - Key 'id' found with value: 648
2026-09-10 12:45:38 [main] INFO  com.framework.api.validators.ResponseValidator - Validating 'name': expected='Leonel', actual='Leonel'
2026-09-10 12:45:38 [main] INFO  com.framework.listeners.TestListener - TEST PASSED: testCreateUser
2026-09-10 12:45:38 [main] INFO  com.framework.listeners.TestListener - TEST STARTED: testDeleteUser
2026-09-10 12:45:38 [main] INFO  com.framework.api.client.RestClient - DELETE https://reqres.in/api/users/2
2026-09-10 12:45:40 [main] INFO  com.framework.api.validators.ResponseValidator - Validating status code: expected=204, actual=204
2026-09-10 12:45:40 [main] INFO  com.framework.listeners.TestListener - TEST PASSED: testDeleteUser
2026-09-10 12:45:40 [main] INFO  com.framework.listeners.TestListener - TEST STARTED: testGetAllUsers
2026-09-10 12:45:40 [main] INFO  com.framework.api.client.RestClient - GET https://reqres.in/api/users
2026-09-10 12:45:40 [main] INFO  com.framework.api.validators.ResponseValidator - Validating status code: expected=200, actual=200
2026-09-10 12:45:40 [main] INFO  com.framework.api.validators.ResponseValidator - Key 'data' found with value: [{id=1, email=george.bluth@reqres.in, first_name=George, last_name=Bluth, avatar=https://reqres.in/img/faces/1-image.jpg}, {id=2, email=janet.weaver@reqres.in, first_name=Janet, last_name=Weaver, avatar=https://reqres.in/img/faces/2-image.jpg}, {id=3, email=emma.wong@reqres.in, first_name=Emma, last_name=Wong, avatar=https://reqres.in/img/faces/3-image.jpg}, {id=4, email=eve.holt@reqres.in, first_name=Eve, last_name=Holt, avatar=https://reqres.in/img/faces/4-image.jpg}, {id=5, email=charles.morris@reqres.in, first_name=Charles, last_name=Morris, avatar=https://reqres.in/img/faces/5-image.jpg}, {id=6, email=tracey.ramos@reqres.in, first_name=Tracey, last_name=Ramos, avatar=https://reqres.in/img/faces/6-image.jpg}]
2026-09-10 12:45:40 [main] INFO  com.framework.api.validators.ResponseValidator - Response time: 313ms (max allowed: 5000ms)
2026-09-10 12:45:40 [main] INFO  com.framework.listeners.TestListener - TEST PASSED: testGetAllUsers
2026-09-10 12:45:40 [main] INFO  com.framework.listeners.TestListener - TEST STARTED: testGetNonExistingUser
2026-09-10 12:45:40 [main] INFO  com.framework.api.client.RestClient - GET https://reqres.in/api/users/9999
